RA,DEC
7.54955,-65.2533
4,-65
3,-65
2,-65
1,-65
0,-65
-1,-65
-2,-65
-3,-65
-4,-65
-5,-65
-6,-65
-7,-65
-8,-65
-9,-65
-10,-65
-11,-65
-12,-65
-13,-65
-14,-65
-15,-65
-16,-65
-17,-65
-18,-65
-19,-65
-20,-65
-21,-65
-22,-65
-23,-65
-24,-65
-25,-65
-26,-65
-27,-65
-28,-65
-29,-65
-30,-65
-31,-65
-32,-65
-33,-65
-34,-65
-35,-65
-36,-65
-37,-65
-38,-65
-39,-65
-40,-65
-41,-65
-42,-65
-43,-65
-44,-65
-45,-65
-46,-65
-47,-65
-48,-65
-49,-65
-50,-65
-51,-65
-52,-65
-53,-65
-54,-65
-55,-65
-56,-65
-57,-65
-56.8,-64
-56.6,-63
-56.4,-62
-56.2,-61
-56,-60
-55.9,-59
-55.8,-58
-55.7,-57
-55.6,-56
-55.5,-55
-55.4,-54
-55.3,-53
-55.2,-52
-55.1,-51
-55,-50
-54.9,-49
-54.8,-48
-54.7,-47
-54.6,-46
-54.5,-45
-54.4,-44
-54.3,-43
-54.2,-42
-54.1,-41
-54,-40
-53,-40
-52,-40
-51,-40
-50,-40
-49,-40
-48,-40
-47,-40
-46,-40
-45,-40
-44,-40
-43,-40
-42,-40
-41,-40
-40,-40
-39,-40
-38,-40
-37,-40
-36,-40
-35,-40
-34,-40
-33,-40
-32,-40
-31,-40
-30,-40
-29,-40
-28,-40
-27,-40
-26,-40
-25,-40
-24,-40
-23,-40
-22,-40
-21,-40
-20,-40
-19,-40
-18,-40
-17,-40
-16,-40
-15,-40
-14,-40
-13,-40
-12,-40
-11,-40
-10,-40
-9,-40
-8,-40
-7,-40
-6,-40
-5,-40
-4,-40
-3,-40
-1.47219,-38.64048
-1.27518,-38.12814
-1.07231,-37.61674
-0.86376,-37.1064
-0.6497,-36.59723
-0.43028,-36.08933
-0.20564,-35.58282
0.02406,-35.07782
0.25871,-34.57444
0.49818,-34.0728
0.74235,-33.57301
0.99113,-33.0752
1.24441,-32.5795
1.50209,-32.08601
1.7641,-31.59488
2.03036,-31.10621
2.30079,-30.62015
2.57532,-30.13681
2.85391,-29.65632
3.13648,-29.17881
3.423,-28.70441
3.71342,-28.23325
4.0077,-27.76546
4.30581,-27.30116
4.60772,-26.84048
4.9134,-26.38355
5.22284,-25.93051
5.53601,-25.48147
5.8529,-25.03656
6.17351,-24.59591
6.49782,-24.15964
6.82584,-23.72788
7.15756,-23.30074
7.49299,-22.87835
7.83212,-22.46081
8.17498,-22.04826
8.52155,-21.6408
8.87186,-21.23855
9.22592,-20.8416
9.58374,-20.45008
9.94533,-20.06407
10.3107,-19.68369
10.67989,-19.30903
11.05289,-18.94018
11.42973,-18.57723
11.81042,-18.22027
12.19498,-17.86938
12.58343,-17.52465
12.97577,-17.18614
13.37203,-16.85393
13.77222,-16.52808
14.17635,-16.20866
14.58443,-15.89572
14.99646,-15.58931
15.41247,-15.2895
15.83245,-14.99631
16.2564,-14.70979
16.68432,-14.42997
17.11623,-14.15689
17.5521,-13.89057
17.99193,-13.63102
18.43571,-13.37827
18.88343,-13.13232
19.33507,-12.89318
19.79061,-12.66086
20.25002,-12.43534
20.71328,-12.21663
21.18035,-12.00471
21.65119,-11.79957
22.12577,-11.60118
22.60404,-11.40952
23.08595,-11.22457
23,-10
23,-9
23,-8
23,-7
